Material = Aluminum 2024-T4 

Geometric Kt = 1.0 

    Nj         Sa         Sm
    1.00      16.96       3.36 
    1.00       4.12       8.16 
    1.00      14.66       1.31 
    1.00      16.65       2.99 
    0.50      18.71       4.87 
    1.00      13.96       0.21 
    1.00      17.12       3.64 
    1.00      17.30       5.59 
    1.00       3.99       0.91 
    1.00      14.89       7.62 
    1.00      17.23       6.13 
    1.00      13.95       9.19 
    1.00      17.62       5.53 
    1.00       4.03       7.72 
    1.00      14.82       1.39 
    1.00      16.71       3.12 
    1.00      17.07       3.42 
    1.00      13.72      -0.07 
    1.00      17.16       3.78 
    1.00      17.43       5.56 
    1.00      16.90       3.33 
    1.00       4.15       8.34 
    1.00      14.60       1.28 
    1.00       9.59      11.62 
    1.00       9.22      -2.97 
    1.00       6.50       9.89 
    1.00      17.50       4.59 
    1.00      16.74       3.25 
    1.00      17.89       4.20 
    1.00       4.26       8.95 
    1.00      14.37       1.18 
    1.00       9.52      12.05 
    1.00       6.69      -1.03 
    1.00      17.18       4.72 
    1.00      17.07       5.65 
    1.00      18.52       4.75 
    1.00       4.02       0.12 
    1.00      14.54       7.74 
    1.00       9.33      -2.67 
    1.00       6.79       9.82 
    1.00      17.45       4.43 
    1.00      16.87       3.31 
    1.00       4.18       8.50 
    1.00      14.54       1.26 
    1.00       9.57      11.74 
    1.00       9.18      -3.09 
    1.00      17.45       4.59 
    1.00       6.39       9.91 
    1.00      16.69       3.23 
    1.00      17.94       4.23 
    1.00       4.29       9.13 
    1.00      14.30       1.16 
    1.00       9.50      12.17 
    1.00       6.56      -1.06 
    1.00      17.19       4.66 
    1.00      17.02       5.67 
    1.00      18.63       4.84 
    1.00       4.03      -0.07 
    1.00      14.46       7.77 
    1.00       9.29      -2.79 
    1.00       6.66       9.85 
    1.00      17.47       4.50 
    1.00      16.82       3.28 
    1.00       4.22       8.70 
    1.00      14.47       1.23 
    1.00       9.55      11.87 
    1.00       9.13      -3.22 
    1.00      17.40       4.59 
    1.00       6.25       9.94 
    1.00      16.63       3.20 
    1.00      18.00       4.26 
    1.00      13.72      -0.07 
    1.00      17.16       3.78 
    1.00      17.43       5.56 
    1.00       0.00      -0.38 
    1.00       0.04      -0.47 
    1.00       0.10      -0.55 
    1.00       0.17      -0.70 
    1.00       0.68      -0.68 
    1.00       0.99      -0.69 
    1.00       5.14       0.01 
    1.00      11.90       3.49 
    1.00      16.90       3.33 
    1.00      18.54       4.73 
    1.00      18.65       4.84 
    1.00      18.70       4.85 
    1.00      17.24       2.99 
    1.00      20.25       2.13 
    1.00      21.07       1.20 
    1.00      20.96       0.50 
    0.50      22.22       1.36 
    1.00       5.91      -1.64 
    1.00       7.99      -1.27 
    1.00       9.98      -0.91 
    0.50      27.10       6.23 
    1.00      23.16      -0.16 
    1.00      23.27      -0.47 
    1.00      23.56      -0.69 
    1.00       5.22      -1.99 
    1.00      24.06      -0.81 
    0.50      29.12       4.21 
    0.50      30.56       5.65 
    0.50      30.77       5.44 
    0.50      30.90       5.56 
    1.00      29.75       4.10 
    1.00      24.49      -1.09 
    1.00      28.67       2.75 
    0.50      31.32       5.14 
    0.50      31.72       5.54 
    1.00      31.34       4.65 
    1.00      31.55       4.63 
    1.00      28.25       1.67 
    1.00      31.78       4.80 
    1.00      29.95       2.36 
    0.50      32.79       4.47 
    1.00      32.91       4.75 
    1.00      10.34      28.10 
    1.00       7.54      26.74 
    0.50      33.69       5.37 
    1.00      27.16      -1.51 
    1.00      28.30       5.15 
    1.00      32.49       4.66 
    0.50      33.93       5.12 
    0.50      34.40       5.58 
    1.00      16.49     -12.58 
    1.00      33.95       4.53 
    1.00      34.57       5.03 
    1.00      33.32       3.70 
    1.00       7.28      26.04 
    1.00      34.26       4.52 
    1.00      34.51       3.63 
    1.00      35.45       4.39 
    0.50      35.62       4.36 
    1.00      35.32       4.09 
    0.50      36.45       5.20 
    0.50      36.72       4.94 
    1.00      36.52       5.39 
    0.50      36.92       5.15 
    1.00      34.34       2.44 
    0.50      37.33       4.74 
    0.50      37.34       4.76 
    1.00      34.44       2.06 
    0.50      37.56       4.54 
    1.00      37.61       4.84 
    1.00      37.74       4.93 
    1.00      37.76       5.18 
    0.50      38.12       5.10 
    0.50      38.48       4.74 
    1.00      38.50       4.84 
    0.50      38.58       4.83 
    0.50      38.79       4.62 
    1.00      38.77       4.90 
    0.50      39.00       4.82 
    1.00      39.21       4.44 
    1.00      37.57       2.52 
    1.00      38.65       4.62 
    0.50      39.64       4.18 
    0.50      39.95       4.49 
    1.00      38.75       4.68 
    0.50      40.16       4.29 
    0.50      40.27       4.39 
    1.00      40.24       4.22 
    1.00      40.20       3.72 
    1.00      39.21       2.57 
    1.00       0.57      25.48 
    1.00      38.13       1.64 
    1.00      38.86       1.95 
    1.00      39.55       2.83 
    1.00      39.20       2.31 
    1.00      40.47       3.57 
    1.00       0.53      25.49 
    1.00      37.97       1.50 
    1.00      38.76       1.78 
    1.00      39.46       2.68 
    1.00      40.57       3.68 
    1.00      39.09       2.16 
    1.00       0.81      25.29 
    1.00      34.41      -2.59 
    1.00      40.74       3.66 
    1.00      40.82       3.73 
    1.00      37.25       1.59 
    0.50      40.88       3.77 
    1.00      40.80       4.24 
    1.00      40.47       3.62 
    1.00      40.74       3.78 
    1.00      39.43       2.64 
    1.00      40.59       3.71 
    1.00       0.82      25.30 
    1.00      33.33      -1.64 
    1.00      39.05       2.12 
    1.00      40.70       3.63 
    1.00      37.22       1.49 
    1.00      41.22       4.11 
    1.00      39.62       3.03 
    1.00      39.34       2.50 
    1.00       0.59      25.51 
    1.00      38.20       1.69 
    1.00      38.93       1.97 
    1.00      39.26       4.69 
    1.00      40.77       3.85 
    1.00      40.52       4.52 
    1.00      39.49       2.79 
    1.00      39.17       2.27 
    1.00       0.79      25.28 
    1.00      34.50      -2.49 
    1.00      41.20       4.10 
    0.50      41.22       4.11 
    1.00      37.29       1.79 
    1.00      40.22       4.90 
    1.00      40.78       4.43 
    1.00      40.87       4.38 
    1.00      40.62       3.98 
    1.00       0.44      25.40 
    1.00      32.39      -2.16 
    1.00      38.51       1.99 
    1.00      40.86       4.11 
    1.00      40.35       3.53 
    1.00      40.46       3.74 
    1.00      40.66       4.05 
    1.00       0.74      25.32 
    1.00      40.99       4.04 
    1.00      33.03      -1.85 
    1.00      40.64       4.51 
    1.00      40.26       3.48 
    1.00      40.57       3.89 
    1.00      40.82       3.90 
    1.00       0.50      25.42 
    1.00      32.59      -2.07 
    1.00      38.69       2.13 
    1.00      40.48       3.63 
    1.00      40.75       3.78 
    1.00      40.94       3.93 
    1.00      39.44       2.64 
    1.00      40.59       3.71 
    1.00       0.82      25.29 
    1.00      33.33      -1.64 
    1.00      39.05       2.12 
    1.00      40.70       3.63 
    1.00      41.20       4.09 
    1.00      37.23       1.49 
    1.00      41.21       4.10 
    0.50      41.22       4.11 
    1.00      39.62       3.03 
    1.00      39.34       2.50 
    1.00       0.60      25.51 
    1.00      38.20       1.69 
    1.00      38.93       1.98 
    1.00      39.25       4.69 
    1.00      40.77       3.86 
    1.00      40.51       4.52 
    1.00      39.50       2.79 
    1.00      39.17       2.27 
    1.00       0.79      25.28 
    1.00      34.50      -2.49 
    1.00      41.20       4.10 
    0.50      41.22       4.11 
    1.00      37.29       1.80 
    1.00      40.21       4.90 
    1.00      40.78       4.43 
    1.00      40.87       4.38 
    1.00      40.62       3.97 
    1.00      40.86       4.11 
    1.00       0.43      25.40 
    1.00      32.38      -2.17 
    1.00      38.70       1.76 
    1.00      40.34       3.52 
    1.00      40.47       3.75 
    1.00      40.66       4.05 
    1.00       0.74      25.32 
    1.00      41.03       4.00 
    1.00      33.03      -1.87 
    1.00      40.64       4.51 
    1.00      40.26       3.49 
    1.00      40.57       3.89 
    1.00      40.81       3.89 
    1.00       0.50      25.42 
    1.00      32.57      -2.08 
    1.00      38.68       2.12 
    1.00      40.47       3.62 
    1.00      40.75       3.79 
    1.00      40.94       3.94 
    1.00      39.43       2.63 
    1.00      40.59       3.72 
    1.00      39.05       2.11 
    1.00       0.82      25.29 
    1.00      34.36      -2.64 
    1.00      40.70       3.62 
    1.00      41.19       4.09 
    1.00      37.23       1.50 
    1.00      41.21       4.10 
    1.00      39.62       3.04 
    1.00      39.34       2.50 
    1.00       0.60      25.51 
    1.00      38.21       1.69 
    1.00      38.94       1.98 
    1.00       0.00      -2.47 
    1.00       0.01      -2.60 
    1.00       0.03      -2.74 
    1.00       0.06      -2.86 
    1.00       0.11      -2.99 
    1.00       0.22      -3.10 
    1.00       0.42      -3.17 
    1.00       0.94      -3.21 
    1.00       2.33      -2.74 
    1.00       5.61      -1.51 
    1.00      12.73       0.89 
    1.00      17.69       1.21 
    1.00      19.47       1.14 
    1.00      20.23       1.04 
    1.00      20.87       1.29 
    1.00      21.69       1.26 
    1.00      21.41       2.05 
    1.00      22.56       1.85 
    1.00      24.01       1.84 
    1.00       0.10      24.71 
    1.00      24.39       1.72 
    1.00      24.71       1.59 
    1.00       0.20      25.49 
    1.00      25.01       2.14 
    1.00      24.68       1.66 
    1.00       0.44      24.98 
    1.00      24.69       1.65 
    1.00      25.10       2.06 
    1.00       0.19      25.52 
    1.00      24.73       1.67 
    1.00      24.57       1.49 
    1.00      25.16       2.02 
    1.00       0.38      25.04 
    1.00       0.06      24.81 
    1.00      24.65       1.50 
    1.00      24.69       1.56 
    1.00       0.62      25.15 
    1.00      24.72       1.62 
    1.00       0.24      25.49 
    1.00      25.02       2.14 
    1.00      24.66       1.64 
    1.00      24.67       1.64 
    1.00      24.70       1.66 
    1.00       0.63      25.15 
    1.00      25.14       2.03 
    1.00      25.13       2.05 
    1.00       0.37      24.97 
    1.00      25.09       2.08 
    1.00       0.47      25.03 
    1.00      25.10       2.07 
    1.00       0.55      25.09 
    1.00      25.10       2.05 
    1.00      24.75       1.68 
    1.00      25.06       1.99 
    1.00      24.38       1.28 
    1.00       0.41      25.37 
    1.00      24.49       1.38 
    1.00       0.66      25.19 
    1.00      25.15       2.03 
    1.00      24.75       1.68 
    1.00      24.57       1.49 
    1.00      25.16       2.02 
    1.00       0.36      25.03 
    1.00       0.04      24.80 
    1.00      24.65       1.50 
    1.00      24.69       1.56 
    1.00       0.62      25.15 
    1.00      24.72       1.63 
    1.00       0.14      25.38 
    1.00      24.31       1.42 
    1.00       3.02      -1.78 
    1.00       4.56      -1.50 
    1.00      11.60      -6.80 
    1.00       0.01      -1.53 
    1.00       0.04      -1.68 
    1.00       0.02      -1.83 
    1.00       0.03      -1.95 
    1.00       0.25      -2.08 
    1.00       0.04      -2.41 
    1.00       0.14      -2.42 
    1.00       0.10      -2.57 
    1.00       2.20      -2.20 
    1.00       4.03      -1.85 
    1.00       8.56      -1.92 
    1.00      14.64      -3.42 
    1.00      13.20      -0.08 
    1.00      16.28       2.75 
    1.00      19.21       1.65 
    1.00      20.40       1.74 
    1.00      20.88       1.73 
    1.00      20.90       1.34 
    1.00      21.38       1.50 
    1.00      21.75       1.68 
    1.00      21.81       1.67 
    1.00      21.23       1.39 
    1.00      22.54       1.37 
    1.00      23.32       1.63 
    1.00      14.86       3.11 
    1.00      23.50       1.61 
    1.00      22.47       1.41 
    1.00      23.77       2.05 
    1.00      24.57       1.68 
    1.00      25.16       2.01 
    1.00       0.45      23.60 
    1.00      25.20       1.97 
    1.00       0.87      24.17 
    1.00      25.31       1.75 
    1.00      25.48       1.76 
    1.00      25.13       0.45 
    1.00       1.46      24.81 
    1.00      26.04       0.88 
    1.00       1.46      25.11 
    1.00      26.60       1.24 
    1.00       1.89      26.05 
    1.00      27.07       1.24 
    1.00       2.33      26.46 
    1.00      27.68       1.57 
    1.00       2.38      26.74 
    1.00      28.31       1.81 
    1.00       2.26      27.09 
    1.00      28.89       1.99 
    1.00       2.44      26.66 
    1.00      29.46       2.18 
    1.00       2.43      26.85 
    1.00      29.50       2.10 
    1.00       2.56      26.96 
    1.00       2.39      27.08 
    1.00      28.44       1.10 
    1.00      29.35       1.97 
    1.00       2.31      27.15 
    1.00      29.40       2.03 
    1.00       2.21      27.21 
    1.00      29.39       2.01 
    1.00       2.09      27.26 
    1.00      29.38       1.99 
    1.00       1.96      27.30 
    1.00      29.36       1.97 
    1.00      29.44       2.03 
    1.00       2.57      26.37 
    1.00       1.90      27.01 
    1.00      29.35       1.89 
    1.00       2.56      26.35 
    1.00      29.63       2.16 
    1.00       2.46      26.03 
    1.00       1.93      25.67 
    1.00      29.53       2.09 
    1.00      29.58       2.12 
    1.00      29.63       2.15 
    1.00       2.04      25.50 
    1.00      29.34       1.88 
    1.00      29.61       2.14 
    1.00      29.63       2.16 
    1.00       2.14      25.61 
    1.00      29.62       2.14 
    1.00       2.23      25.72 
    1.00       2.31      25.83 
    1.00      29.63       2.14 
    1.00       2.38      25.94 
    1.00      29.63       2.15 
    1.00       0.32      25.56 
    1.00      29.37       1.92 
    1.00       2.51      26.21 
    1.00      29.63       2.15 
    1.00       1.87      26.89 
    1.00       2.58      26.44 
    1.00       2.44      26.81 
    1.00      28.81       1.42 
    1.00      29.33       1.87 
    1.00       2.58      26.78 
    1.00      29.33       2.24 
    1.00       2.61      26.93 
    1.00      29.33       1.97 
    1.00       2.40      27.07 
    1.00      29.35       1.99 
    1.00       2.32      27.14 
    1.00      29.41       2.03 
    1.00       2.22      27.20 
    1.00      29.39       2.01 
    1.00       2.11      27.25 
    1.00      29.38       1.99 
    1.00      29.43       2.04 
    1.00       1.98      27.29 
    1.00      29.36       1.97 
    1.00      29.54       2.07 
    1.00       2.57      26.36 
    1.00      29.63       2.15 
    1.00       1.90      27.02 
    1.00      29.35       1.89 
    1.00       2.55      26.34 
    1.00      29.63       2.16 
    1.00       2.46      26.04 
    1.00       1.94      25.68 
    1.00      29.53       2.09 
    1.00      29.58       2.12 
    1.00      29.63       2.15 
    1.00       2.04      25.50 
    1.00      29.34       1.88 
    1.00      29.61       2.14 
    1.00       2.14      25.61 
    1.00      29.62       2.14 
    1.00       2.23      25.72 
    1.00       2.31      25.83 
    1.00      29.63       2.14 
    1.00       2.38      25.94 
    1.00      29.63       2.15 
    1.00       0.32      25.56 
    1.00      29.37       1.92 
    1.00       2.51      26.21 
    1.00      29.63       2.15 
    1.00       1.87      26.89 
    1.00       2.58      26.44 
    1.00       2.44      26.81 
    1.00      28.81       1.42 
    1.00      29.33       1.87 
    1.00       2.58      26.78 
    1.00      29.33       2.24 
    1.00       2.61      26.93 
    1.00      29.33       1.97 
    0.50      41.22       4.11 
    0.50      41.22       4.11 
    0.50      41.22       4.12 
    0.50      40.86       3.77 
    0.50      36.06       8.57 
    0.50      29.64       2.16 
    0.50      29.64       2.16 
    0.50      29.63       2.15 
    0.50      29.62       2.16 
    0.50      29.54       2.07 
    0.50      29.50       2.11 
    0.50      29.37       1.98 
    0.50      29.35       1.99 
    0.50       6.40     -20.96 
=======================================================

          RESULT OF NONLINEAR FATIGUE ANALYSIS         
           Expected service life = 8000 h             

-------------------------------------------------------


 Number of cycle repetitions = 66346102582                   

 Total hours until failure = 36858945.9 h                   

 Accumulated damage from 1 cycle fatigue = 1.51e-11       

 Acumulated fatigue damage for 8000 h = 0.000217        

 Fatigue Safety Margin for 8000 h > 1000%            


=======================================================


