Material = Aluminum 2024-T4 

Geometric Kt = 2.3 

    Nj         Sa         Sm
    1.00      32.51      20.52 
    1.00      40.47      13.01 
    1.00      39.00       7.73 
    1.00       9.48      18.77 
    1.00      33.72       3.02 
    1.00      38.30       6.88 
    0.50      43.02      11.20 
    1.00      32.10       0.49 
    1.00      39.37       8.37 
    1.00      39.79      12.87 
    1.00       9.17       2.09 
    1.00      34.24      17.54 
    1.00      39.63      14.10 
    1.00      32.10      21.13 
    1.00      40.52      12.73 
    1.00       9.28      17.75 
    1.00      34.08       3.19 
    1.00      38.43       7.18 
    1.00      39.27       7.86 
    1.00      31.56      -0.16 
    1.00      39.47       8.69 
    1.00      40.09      12.80 
    1.00      38.87       7.67 
    1.00       9.55      19.18 
    1.00      33.57       2.95 
    1.00      22.05      26.74 
    1.00      21.20      -6.84 
    1.00      14.94      22.74 
    1.00      40.24      10.57 
    1.00      38.50       7.47 
    1.00      41.15       9.67 
    1.00       9.80      20.60 
    1.00      33.05       2.72 
    1.00      21.89      27.72 
    1.00      15.39      -2.37 
    1.00      39.51      10.85 
    1.00      39.27      13.01 
    1.00      42.60      10.94 
    1.00       9.25       0.28 
    1.00      33.45      17.80 
    1.00      21.45      -6.13 
    1.00      15.61      22.59 
    1.00      40.13      10.20 
    1.00      38.80       7.60 
    1.00       9.62      19.55 
    1.00      33.44       2.89 
    1.00      22.02      27.00 
    1.00      21.11      -7.10 
    1.00      40.14      10.56 
    1.00      14.69      22.80 
    1.00      38.38       7.42 
    1.00      41.26       9.73 
    1.00       9.86      20.99 
    1.00      32.90       2.66 
    1.00      21.84      27.99 
    1.00      15.08      -2.45 
    1.00      39.53      10.71 
    1.00      39.14      13.03 
    1.00      42.85      11.14 
    1.00       9.26      -0.15 
    1.00      33.26      17.86 
    1.00      21.36      -6.43 
    1.00      15.33      22.65 
    1.00      40.19      10.36 
    1.00      38.68       7.55 
    1.00       9.70      20.00 
    1.00      33.27       2.82 
    1.00      21.97      27.31 
    1.00      21.00      -7.41 
    1.00      40.01      10.55 
    1.00      14.38      22.87 
    1.00      38.24       7.36 
    1.00      41.39       9.80 
    1.00      31.56      -0.16 
    1.00      39.46       8.69 
    1.00      40.09      12.80 
    1.00       0.01      -0.87 
    1.00       0.08      -1.09 
    1.00       0.23      -1.27 
    1.00       0.39      -1.61 
    1.00       1.56      -1.56 
    1.00       2.29      -1.58 
    1.00      11.81       0.03 
    1.00      27.37       8.04 
    1.00      38.87       7.67 
    1.00      42.65      10.89 
    1.00      42.90      11.14 
    1.00      43.02      11.16 
    1.00      39.65       6.88 
    1.00      46.57       4.90 
    1.00      48.47       2.75 
    1.00      48.21       1.15 
    0.50      51.11       3.12 
    1.00      13.59      -3.76 
    1.00      18.38      -2.91 
    1.00      22.95      -2.09 
    0.50      62.33      14.34 
    1.00      53.26      -0.37 
    1.00      53.52      -1.09 
    1.00      54.19      -1.59 
    1.00      11.99      -4.57 
    1.00      55.33      -1.87 
    0.50      66.98       9.68 
    0.50      70.29      13.00 
    0.50      70.78      12.51 
    0.50      71.07      12.80 
    1.00      68.42       9.43 
    1.00      56.33      -2.50 
    1.00      65.93       6.31 
    0.50      72.04      11.82 
    0.50      72.95      12.73 
    1.00      72.09      10.70 
    1.00      72.56      10.65 
    1.00      64.97       3.84 
    1.00      73.09      11.04 
    1.00      68.88       5.43 
    0.50      75.41      10.28 
    1.00      75.69      10.92 
    1.00      23.79      64.63 
    1.00      17.35      61.50 
    0.50      77.48      12.35 
    1.00      62.47      -3.48 
    1.00      65.09      11.84 
    1.00      74.72      10.71 
    0.50      78.05      11.78 
    0.50      79.11      12.84 
    1.00      37.94     -28.94 
    1.00      78.10      10.41 
    1.00      79.51      11.57 
    1.00      76.63       8.50 
    1.00      16.74      59.89 
    1.00      78.80      10.39 
    1.00      79.37       8.36 
    1.00      81.53      10.09 
    0.50      81.92      10.04 
    1.00      81.23       9.40 
    0.50      83.85      11.97 
    0.50      84.45      11.36 
    1.00      83.99      12.39 
    0.50      84.93      11.84 
    1.00      78.98       5.62 
    0.50      85.86      10.91 
    0.50      85.89      10.95 
    1.00      79.20       4.75 
    0.50      86.39      10.45 
    1.00      86.51      11.12 
    1.00      86.80      11.35 
    1.00      86.86      11.91 
    0.50      87.68      11.73 
    0.50      88.51      10.90 
    1.00      88.55      11.14 
    0.50      88.73      11.12 
    0.50      89.22      10.63 
    1.00      89.16      11.28 
    0.50      89.69      11.10 
    1.00      90.18      10.21 
    1.00      86.42       5.79 
    1.00      88.90      10.63 
    0.50      91.17       9.61 
    0.50      91.89      10.34 
    1.00      89.12      10.76 
    0.50      92.37       9.86 
    0.50      92.61      10.10 
    1.00      92.55       9.72 
    1.00      92.45       8.56 
    1.00      90.19       5.90 
    1.00       1.31      58.61 
    1.00      87.69       3.77 
    1.00      89.39       4.47 
    1.00      90.97       6.50 
    1.00      90.15       5.30 
    1.00      93.09       8.21 
    1.00       1.23      58.64 
    1.00      87.32       3.46 
    1.00      89.16       4.09 
    1.00      90.77       6.17 
    1.00      93.30       8.47 
    1.00      89.90       4.98 
    1.00       1.86      58.16 
    1.00      79.14      -5.96 
    1.00      93.70       8.41 
    1.00      93.89       8.59 
    1.00      85.67       3.66 
    0.50      94.03       8.68 
    1.00      93.85       9.76 
    1.00      93.07       8.33 
    1.00      93.71       8.70 
    1.00      90.70       6.07 
    1.00      93.35       8.54 
    1.00       1.89      58.18 
    1.00      76.66      -3.77 
    1.00      89.82       4.87 
    1.00      93.61       8.34 
    1.00      85.62       3.42 
    1.00      94.81       9.46 
    1.00      91.13       6.96 
    1.00      90.48       5.74 
    1.00       1.37      58.67 
    1.00      87.86       3.88 
    1.00      89.54       4.53 
    1.00      90.29      10.79 
    1.00      93.76       8.87 
    1.00      93.19      10.40 
    1.00      90.84       6.42 
    1.00      90.09       5.21 
    1.00       1.82      58.15 
    1.00      79.35      -5.73 
    1.00      94.75       9.44 
    0.50      94.81       9.46 
    1.00      85.77       4.11 
    1.00      92.50      11.26 
    1.00      93.79      10.18 
    1.00      94.00      10.08 
    1.00      93.43       9.15 
    1.00       1.01      58.41 
    1.00      74.49      -4.98 
    1.00      88.58       4.57 
    1.00      93.97       9.45 
    1.00      92.80       8.12 
    1.00      93.07       8.60 
    1.00      93.52       9.31 
    1.00       1.71      58.23 
    1.00      94.28       9.29 
    1.00      75.97      -4.26 
    1.00      93.46      10.38 
    1.00      92.59       8.00 
    1.00      93.30       8.94 
    1.00      93.88       8.96 
    1.00       1.15      58.46 
    1.00      74.95      -4.76 
    1.00      89.00       4.90 
    1.00      93.10       8.35 
    1.00      93.72       8.70 
    1.00      94.16       9.05 
    1.00      90.70       6.07 
    1.00      93.35       8.54 
    1.00       1.88      58.18 
    1.00      76.67      -3.76 
    1.00      89.82       4.88 
    1.00      93.62       8.35 
    1.00      94.75       9.42 
    1.00      85.62       3.43 
    1.00      94.79       9.44 
    0.50      94.82       9.46 
    1.00      91.13       6.97 
    1.00      90.48       5.75 
    1.00       1.37      58.67 
    1.00      87.87       3.88 
    1.00      89.54       4.54 
    1.00      90.28      10.79 
    1.00      93.77       8.87 
    1.00      93.18      10.40 
    1.00      90.84       6.43 
    1.00      90.09       5.22 
    1.00       1.82      58.15 
    1.00      79.36      -5.72 
    1.00      94.76       9.44 
    0.50      94.82       9.46 
    1.00      85.77       4.13 
    1.00      92.49      11.27 
    1.00      93.79      10.19 
    1.00      94.00      10.08 
    1.00      93.42       9.14 
    1.00      93.97       9.45 
    1.00       1.00      58.42 
    1.00      74.46      -4.99 
    1.00      89.02       4.04 
    1.00      92.78       8.10 
    1.00      93.08       8.62 
    1.00      93.53       9.32 
    1.00       1.71      58.23 
    1.00      94.37       9.21 
    1.00      75.97      -4.30 
    1.00      93.48      10.38 
    1.00      92.60       8.02 
    1.00      93.31       8.95 
    1.00      93.87       8.96 
    1.00       1.14      58.46 
    1.00      74.92      -4.78 
    1.00      88.97       4.88 
    1.00      93.08       8.34 
    1.00      93.73       8.71 
    1.00      94.17       9.06 
    1.00      90.69       6.05 
    1.00      93.36       8.55 
    1.00      89.81       4.86 
    1.00       1.88      58.17 
    1.00      79.04      -6.07 
    1.00      93.60       8.33 
    1.00      94.75       9.41 
    1.00      85.62       3.44 
    1.00      94.79       9.44 
    1.00      91.14       6.98 
    1.00      90.49       5.76 
    1.00       1.37      58.67 
    1.00      87.88       3.89 
    1.00      89.55       4.55 
    1.00       0.00      -5.69 
    1.00       0.02      -5.99 
    1.00       0.06      -6.30 
    1.00       0.13      -6.59 
    1.00       0.26      -6.87 
    1.00       0.51      -7.12 
    1.00       0.96      -7.28 
    1.00       2.17      -7.38 
    1.00       5.35      -6.29 
    1.00      12.91      -3.48 
    1.00      29.28       2.06 
    1.00      40.68       2.77 
    1.00      44.78       2.61 
    1.00      46.52       2.38 
    1.00      48.00       2.98 
    1.00      49.89       2.90 
    1.00      49.25       4.71 
    1.00      51.88       4.27 
    1.00      55.22       4.23 
    1.00       0.23      56.84 
    1.00      56.09       3.97 
    1.00      56.82       3.65 
    1.00       0.46      58.63 
    1.00      57.52       4.92 
    1.00      56.76       3.82 
    1.00       1.02      57.44 
    1.00      56.78       3.80 
    1.00      57.74       4.73 
    1.00       0.44      58.69 
    1.00      56.88       3.84 
    1.00      56.50       3.43 
    1.00      57.87       4.65 
    1.00       0.87      57.60 
    1.00       0.13      57.07 
    1.00      56.68       3.45 
    1.00      56.79       3.59 
    1.00       1.43      57.84 
    1.00      56.86       3.73 
    1.00       0.55      58.62 
    1.00      57.54       4.92 
    1.00      56.72       3.77 
    1.00      56.73       3.77 
    1.00      56.81       3.81 
    1.00       1.45      57.85 
    1.00      57.82       4.68 
    1.00      57.79       4.70 
    1.00       0.86      57.43 
    1.00      57.70       4.79 
    1.00       1.08      57.56 
    1.00      57.72       4.76 
    1.00       1.26      57.70 
    1.00      57.73       4.73 
    1.00      56.92       3.87 
    1.00      57.64       4.58 
    1.00      56.06       2.94 
    1.00       0.93      58.34 
    1.00      56.33       3.17 
    1.00       1.52      57.93 
    1.00      57.86       4.66 
    1.00      56.92       3.86 
    1.00      56.50       3.43 
    1.00      57.88       4.64 
    1.00       0.83      57.57 
    1.00       0.09      57.04 
    1.00      56.69       3.46 
    1.00      56.79       3.59 
    1.00       1.43      57.83 
    1.00      56.87       3.74 
    1.00       0.33      58.38 
    1.00      55.90       3.28 
    1.00       6.95      -4.10 
    1.00      10.49      -3.46 
    1.00      26.68     -15.64 
    1.00       0.02      -3.52 
    1.00       0.09      -3.85 
    1.00       0.05      -4.22 
    1.00       0.08      -4.48 
    1.00       0.58      -4.80 
    1.00       0.09      -5.55 
    1.00       0.33      -5.58 
    1.00       0.22      -5.90 
    1.00       5.07      -5.07 
    1.00       9.27      -4.25 
    1.00      19.68      -4.42 
    1.00      33.67      -7.87 
    1.00      30.35      -0.19 
    1.00      37.43       6.33 
    1.00      44.18       3.80 
    1.00      46.92       4.00 
    1.00      48.02       3.97 
    1.00      48.07       3.07 
    1.00      49.17       3.45 
    1.00      50.03       3.87 
    1.00      50.17       3.85 
    1.00      48.83       3.20 
    1.00      51.83       3.14 
    1.00      53.64       3.74 
    1.00      34.18       7.16 
    1.00      54.05       3.71 
    1.00      51.67       3.25 
    1.00      54.66       4.71 
    1.00      56.51       3.87 
    1.00      57.87       4.63 
    1.00       1.03      54.29 
    1.00      57.95       4.53 
    1.00       1.99      55.58 
    1.00      58.22       4.03 
    1.00      58.61       4.06 
    1.00      57.79       1.03 
    1.00       3.36      57.06 
    1.00      59.89       2.02 
    1.00       3.35      57.76 
    1.00      61.18       2.85 
    1.00       4.34      59.92 
    1.00      62.26       2.86 
    1.00       5.36      60.87 
    1.00      63.66       3.61 
    1.00       5.48      61.50 
    1.00      65.10       4.17 
    1.00       5.20      62.30 
    1.00      66.44       4.57 
    1.00       5.60      61.32 
    1.00      67.75       5.00 
    1.00       5.60      61.75 
    1.00      67.84       4.84 
    1.00       5.88      62.02 
    1.00       5.51      62.28 
    1.00      65.42       2.52 
    1.00      67.50       4.53 
    1.00       5.31      62.44 
    1.00      67.63       4.67 
    1.00       5.08      62.58 
    1.00      67.60       4.62 
    1.00       4.81      62.69 
    1.00      67.57       4.57 
    1.00       4.50      62.79 
    1.00      67.53       4.53 
    1.00      67.71       4.66 
    1.00       5.91      60.65 
    1.00       4.37      62.13 
    1.00      67.50       4.34 
    1.00       5.88      60.61 
    1.00      68.14       4.97 
    1.00       5.66      59.86 
    1.00       4.45      59.05 
    1.00      67.92       4.80 
    1.00      68.04       4.87 
    1.00      68.15       4.95 
    1.00       4.70      58.65 
    1.00      67.49       4.33 
    1.00      68.11       4.91 
    1.00      68.16       4.96 
    1.00       4.92      58.89 
    1.00      68.13       4.92 
    1.00       5.12      59.15 
    1.00       5.31      59.40 
    1.00      68.14       4.93 
    1.00       5.47      59.66 
    1.00      68.14       4.93 
    1.00       0.74      58.79 
    1.00      67.56       4.41 
    1.00       5.78      60.29 
    1.00      68.14       4.95 
    1.00       4.31      61.84 
    1.00       5.93      60.81 
    1.00       5.61      61.67 
    1.00      66.26       3.26 
    1.00      67.46       4.30 
    1.00       5.94      61.60 
    1.00      67.45       5.15 
    1.00       5.99      61.95 
    1.00      67.45       4.54 
    1.00       5.53      62.26 
    1.00      67.52       4.58 
    1.00       5.34      62.42 
    1.00      67.63       4.67 
    1.00       5.11      62.56 
    1.00      67.60       4.63 
    1.00       4.84      62.68 
    1.00      67.57       4.58 
    1.00      67.69       4.69 
    1.00       4.54      62.78 
    1.00      67.54       4.53 
    1.00      67.93       4.77 
    1.00       5.91      60.64 
    1.00      68.15       4.95 
    1.00       4.37      62.14 
    1.00      67.50       4.34 
    1.00       5.88      60.58 
    1.00      68.15       4.97 
    1.00       5.66      59.88 
    1.00       4.45      59.06 
    1.00      67.92       4.80 
    1.00      68.04       4.87 
    1.00      68.15       4.95 
    1.00       4.70      58.65 
    1.00      67.49       4.33 
    1.00      68.11       4.91 
    1.00       4.92      58.90 
    1.00      68.13       4.92 
    1.00       5.12      59.15 
    1.00       5.31      59.40 
    1.00      68.14       4.93 
    1.00       5.47      59.66 
    1.00      68.14       4.93 
    1.00       0.74      58.79 
    1.00      67.56       4.41 
    1.00       5.78      60.29 
    1.00      68.14       4.95 
    1.00       4.30      61.84 
    1.00       5.93      60.81 
    1.00       5.61      61.67 
    1.00      66.26       3.26 
    1.00      67.46       4.30 
    1.00       5.94      61.60 
    1.00      67.45       5.15 
    1.00       6.00      61.95 
    1.00      67.45       4.54 
    0.50      94.82       9.46 
    0.50      94.82       9.46 
    0.50      94.80       9.48 
    0.50      93.98       8.66 
    0.50      82.93      19.72 
    0.50      68.17       4.96 
    0.50      68.17       4.96 
    0.50      68.16       4.95 
    0.50      68.14       4.97 
    0.50      67.93       4.77 
    0.50      67.85       4.85 
    0.50      67.55       4.55 
    0.50      67.52       4.58 
    0.50      14.72     -48.21 
=======================================================

          RESULT OF NONLINEAR FATIGUE ANALYSIS         
           Expected service life = 8000 h             

-------------------------------------------------------


 Number of cycle repetitions = 17130623                   

 Total hours until failure = 9517.0 h                   

 Accumulated damage from 1 cycle fatigue = 5.84e-08       

 Acumulated fatigue damage for 8000 h = 0.840600        

 Fatigue Safety Margin for 8000 h =  19%           


=======================================================


